player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Vedat Muriqi,RCD Mallorca,PD,2025,,23,1,37,31.27173169062286,14032521.0
Tijjani Noslin,SS Lazio,SA,2025,,4,2,37,26.069815195071868,14020161.0
Mohamed Salah,Liverpool FC,PL,2025,,7,7,29,33.12799452429842,13829599.0
Taiwo Awoniyi,Nottingham Forest FC,PL,2025,,4,1,25,27.969883641341546,13746810.0
Roberto Fernández,RCD Espanyol de Barcelona,PD,2025,,7,2,37,23.080082135523615,13655059.0
Matteo Cancellieri,SS Lazio,SA,2025,,4,3,31,23.46611909650924,13608363.0
Nicolò Cambiaghi,Bologna FC 1909,SA,2025,,3,4,31,24.591375770020534,13427469.0
Alisson Santos,SSC Napoli,SA,2025,,4,0,15,22.844626967830255,13299948.0
Oihan Sancet,Athletic Club,PD,2025,,4,0,28,25.267624914442163,13204252.0
Sofiane Diop,OGC Nice,FL1,2025,,8,2,33,25.144421629021217,13027090.0
Mattias Svanberg,VfL Wolfsburg,BL1,2025,,3,1,25,26.570841889117045,12885884.0
Santiago Castro,Bologna FC 1909,SA,2025,,7,2,38,20.867898699520875,12771810.0
Yann Gboho,Toulouse FC,FL1,2025,,8,3,32,24.54483230663929,12710327.0
Keinan Davis,Udinese Calcio,SA,2025,,10,4,30,27.463381245722108,12669905.0
Senny Mayulu,Paris Saint-Germain FC,FL1,2025,,4,4,26,19.208761122518823,12600041.0
Afonso Moreira,Olympique Lyonnais,FL1,2025,,4,7,29,20.369609856262834,12595260.0
Romain Perraud,Lille OSC,FL1,2025,,3,4,32,27.857631759069132,12584166.0
Azzedine Ounahi,Girona FC,PD,2025,,5,2,24,25.284052019164957,12542471.0
Lameck Banda,US Lecce,SA,2025,,5,4,35,24.503764544832308,12491023.0
Thomas Kristensen,Udinese Calcio,SA,2025,,3,0,30,23.537303216974674,12487664.0
Samuel Mbangula,SV Werder Bremen,BL1,2025,,3,2,29,21.541409993155373,12433002.0
Largie Ramazani,Valencia CF,PD,2025,,6,1,31,24.424366872005475,12392139.0
Aitor Ruibal,Real Betis Balompié,PD,2025,,4,2,31,29.360711841204655,12324959.0
Federico Viñas,Real Oviedo,PD,2025,,9,1,33,27.08829568788501,12264059.0
Maximilian Eggestein,SC Freiburg,BL1,2025,,3,1,34,28.646132785763175,12146984.0
Mahdi Camara,Stade Rennais FC 1901,FL1,2025,,3,1,32,27.08829568788501,11985836.0
Andrej Ilic,1. FC Union Berlin,BL1,2025,,5,10,32,25.32785763175907,11954740.0
Said El Mala,1. FC Köln,BL1,2025,,13,4,34,18.93223819301848,11727137.0
Ransford Königsdörffer,Hamburger SV,BL1,2025,,5,1,33,23.88227241615332,11604603.0
Marshall Munetsi,Paris FC,FL1,2025,,4,1,17,29.1088295687885,11578094.0
André Silva,Elche CF,PD,2025,,10,0,33,29.73579739904175,11374616.0
Jan Thielmann,1. FC Köln,BL1,2025,,3,1,27,23.184120465434635,11332669.0
Vladyslav Vanat,Girona FC,PD,2025,,9,1,27,23.572895277207394,11248511.0
Williot Swedberg,RC Celta de Vigo,PD,2025,,5,5,31,21.49760438056126,11162422.0
Djibril Sow,Sevilla FC,PD,2025,,5,4,34,28.48186173853525,11056981.0
Yan Diomandé,RB Leipzig,BL1,2025,,12,8,33,18.713210130047912,10861293.0
Corentin Tolisso,Olympique Lyonnais,FL1,2025,,11,4,30,30.99520876112252,10821033.0
Santiago Hidalgo,Toulouse FC,FL1,2025,,3,7,33,20.451745379876797,10769352.0
Anton Kade,FC Augsburg,BL1,2025,,6,0,29,21.53867214236824,10743870.0
Sergio Camello,Rayo Vallecano de Madrid,PD,2025,,5,1,32,24.470910335386723,10616675.0
Artem Dovbyk,AS Roma,SA,2025,,3,1,16,28.112251882272417,10545313.0
Toni Martínez,Deportivo Alavés,PD,2025,,14,3,38,28.087611225188226,10528391.0
